id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
1,1568.1547185,111.28000000007887,0,1,0.4156992394103982,0.5930567641470966,1.2905736607827571,0.9189991556073277,3d gaze,-2.898572865193306,-1.8818934402493404,18.50889101998619,1568.1547185 1568.1591775 1568.1631965 1568.1667929999999 1568.17088 1568.1755014999999 1568.1795395 1568.182848 1568.1865939999998 1568.190642 1568.1947824999997 1568.199385 1568.2034274999999 1568.2068534999999 1568.210856 1568.2154335 1568.219467 1568.2229005 1568.2267904999999 1568.2307819999999 1568.2347784999997 1568.2391079999998 1568.243284 1568.2469514999998 1568.25085 1568.255078 1568.259226 1568.2659985
2,1568.3347414999998,188.1149999999252,2,8,0.46520968812139485,0.6420722849784352,1.006531382489191,0.9298352508939456,3d gaze,-1.4076167274911704,-2.6108286749193033,17.884341808421762,1568.3347414999998 1568.3388784999997 1568.3432905 1568.3471839999997 1568.350723 1568.3546959999999 1568.3586765 1568.3626344999998 1568.3668054999998 1568.3709124999998 1568.3752295 1568.3793099999998 1568.3832415 1568.387229 1568.3908674999998 1568.3947704999998 1568.398772 1568.4027234999999 1568.4068345 1568.4109425 1568.4150045 1568.4190274999999 1568.4229524999998 1568.4268935 1568.430721 1568.4347155 1568.43901 1568.4429019999998 1568.4470075 1568.4512565 1568.4549505 1568.4586734999998 1568.464602 1568.4686265 1568.4728405 1568.477054 1568.4828205 1568.4867645 1568.4905549999999 1568.494576 1568.4986844999999 1568.502957 1568.5069704999999 1568.5107079999998 1568.5146359999999 1568.518654 1568.5228564999998
3,1568.5707155,216.17349999996804,10,16,0.3906955631139574,0.40800071997515575,0.8003167835748162,0.841122161533044,3d gaze,-3.856091524579541,1.330831640117807,19.61063657246581,1568.5707155 1568.5749134999999 1568.5789135 1568.5826539999998 1568.587019 1568.5912604999999 1568.5948549999998 1568.5989399999999 1568.6030449999998 1568.6069264999999 1568.6110405 1568.6148484999999 1568.6186109999999 1568.6225985 1568.626589 1568.6306435 1568.634768 1568.6390979999999 1568.643212 1568.6468654999999 1568.6508519999998 1568.6548524999998 1568.6588749999999 1568.6628434999998 1568.666601 1568.670962 1568.6750029999998 1568.6786305 1568.6828415 1568.6868809999999 1568.6906504999997 1568.6946475 1568.6986494999999 1568.7026234999998 1568.7066264999999 1568.7106175 1568.7146275 1568.7186785 1568.7231029999998 1568.72733 1568.730986 1568.7347784999997 1568.7387595 1568.7428034999998 1568.7470775 1568.751268 1568.7549475 1568.7586965 1568.762683 1568.7667929999998 1568.7711445 1568.7754885 1568.7792415 1568.7829309999997 1568.786889
4,1568.8193254999999,152.1055000000615,17,22,0.36414565225680395,0.36631568450686997,1.4966371034699313,0.8752788315574296,3d gaze,-4.886322460413504,2.1758033255411955,20.253402758791584,1568.8193254999999 1568.8234005 1568.8268195 1568.8307475 1568.834742 1568.8389244999998 1568.842983 1568.8468125 1568.8510775 1568.8550524999998 1568.8589754999998 1568.8630359999997 1568.866787 1568.870776 1568.875054 1568.879023 1568.8828829999998 1568.8868934999998 1568.8907745 1568.894672 1568.8986619999998 1568.9028054999999 1568.9068144999999 1568.9107434999999 1568.9147429999998 1568.918799 1568.9230734999999 1568.9271425 1568.932881 1568.936767 1568.940728 1568.9446905 1568.9506729999998 1568.9546635 1568.9586645 1568.9626764999998 1568.9671414999998 1568.971431
5,1568.9872354999998,219.57750000001397,22,29,0.403533330539172,0.340010402875468,1.0189326115331592,0.8404442470658814,3d gaze,-3.5461063651881672,2.6190369520534498,20.05301513746834,1568.9872354999998 1568.9908335 1568.9947545 1568.998959 1569.0029574999999 1569.006741 1569.0107385 1569.0149775 1569.0190479999999 1569.0227885 1569.0267614999998 1569.0311645 1569.0352185 1569.0389 1569.0429944999998 1569.0468944999998 1569.051215 1569.0552884999997 1569.058803 1569.0627154999997 1569.0667744999998 1569.071508 1569.0754809999999 1569.0792419999998 1569.083908 1569.0875624999999 1569.0909094999997 1569.0950235 1569.099246 1569.1032495 1569.10725 1569.111116 1569.1147904999998 1569.1189009999998 1569.1231695 1569.1272259999998 1569.131257 1569.1350705 1569.138775 1569.142675 1569.146878 1569.151154 1569.1551654999998 1569.1588965 1569.162639 1569.166908 1569.1709919999998 1569.174744 1569.1788659999997 1569.1831204999999 1569.186947 1569.1906935 1569.1947989999999 1569.1989515 1569.2029119999997 1569.2068129999998
6,1569.2110905,215.8879999999499,29,35,0.4018652954421565,0.34011598005710464,0.44733018552136605,0.8260041727516872,3d gaze,-3.6094981883553845,2.6247566119611925,20.102891345748723,1569.2110905 1569.21511 1569.2192049999999 1569.2230925 1569.226646 1569.2306389999999 1569.2346374999997 1569.2388845 1569.243483 1569.2474339999999 1569.2512404999998 1569.2551319999998 1569.2589365 1569.262866 1569.2667474999998 1569.2708214999998 1569.2753654999997 1569.2795294999999 1569.2832064999998 1569.2871605 1569.2909255 1569.2952435 1569.299474 1569.3029844999999 1569.3067204999998 1569.3109315 1569.3149764999998 1569.3190065 1569.3231935 1569.3268994999999 1569.3306264999999 1569.3347055 1569.3388405 1569.343023 1569.3472524999997 1569.3512084999998 1569.35491 1569.3589499999998 1569.3630655 1569.366817 1569.3707165 1569.375186 1569.3792435 1569.3831664999998 1569.387177 1569.3908299999998 1569.3946995 1569.400709 1569.404738 1569.4088084999999 1569.412879 1569.4187404999998 1569.4226599999997 1569.4269785
7,1569.4629765,127.89950000001227,36,40,0.5213908167528437,0.310879707156636,1.063080077925148,0.8289364357646497,3d gaze,0.1700130756060406,2.9265280180899285,18.800463863022095,1569.4629765 1569.466836 1569.4709225 1569.4752125 1569.4790874999999 1569.4832709999998 1569.4874575 1569.4909545 1569.4946635 1569.4986365 1569.5026504999998 1569.5066149999998 1569.5109284999999 1569.5151645 1569.5191719999998 1569.5229129999998 1569.5265759999997 1569.5305964999998 1569.5346249999998 1569.5386755 1569.543045 1569.547079 1569.5508829999999 1569.5548209999997 1569.5586365 1569.5628904999999 1569.5668495 1569.57055 1569.5746399999998 1569.5786899999998 1569.5825949999999 1569.5867979999998 1569.590876
8,1569.679076,216.06449999990218,43,49,0.5521190776730518,0.22275371648402653,1.0497243503874043,0.821010233079947,3d gaze,1.0941598728284043,4.535259632629716,18.92325313163837,1569.679076 1569.6835059999999 1569.687422 1569.6909664999998 1569.6947605 1569.6987319999998 1569.7026755 1569.7067064999999 1569.7109765 1569.7150115 1569.719034 1569.722836 1569.7265559999998 1569.7306595 1569.7346925 1569.738753 1569.7427315 1569.7466264999998 1569.7507255 1569.7547504999998 1569.7586109999997 1569.762857 1569.7668345 1569.7705489999998 1569.774781 1569.778826 1569.782607 1569.7867535 1569.790783 1569.7945925 1569.7986449999999 1569.8027665 1569.8071404999998 1569.811232 1569.8147815 1569.8186215 1569.8226565 1569.826587 1569.8305805 1569.8349924999998 1569.839227 1569.8429334999998 1569.8467134999999 1569.8507369999998 1569.8547004999998 1569.8605954999998 1569.8646209999997 1569.8686275 1569.872631 1569.876675 1569.880717 1569.886692 1569.8906155 1569.8951404999998
9,1569.9792555,111.46899999994275,52,55,0.5886092794739206,0.23276528773910504,1.1972997715995914,0.8073868672448782,3d gaze,2.1301420101856645,4.24445469036448,18.377718955523605,1569.9792555 1569.9834154999999 1569.9875564999998 1569.9913975 1569.994757 1569.9987265 1570.0027885 1570.0069304999997 1570.011143 1570.0151855 1570.019038 1570.023122 1570.027046 1570.0306735 1570.0346029999998 1570.0386334999998 1570.042589 1570.0466035 1570.051385 1570.0555005 1570.058904 1570.063197 1570.0671945 1570.0708384999998 1570.0748174999999 1570.0788105 1570.0829764999999 1570.0870015 1570.0907244999999
10,1570.134983,180.06199999990713,56,62,0.5533016383910142,0.4502614138835355,1.1975008071308655,0.8900161149860822,3d gaze,1.0383037048115944,0.5066435898395202,17.803575970132364,1570.134983 1570.1390699999997 1570.1429475 1570.147053 1570.1511335 1570.1549559999999 1570.1589565 1570.163114 1570.1683959999998 1570.1721304999999 1570.1749599999998 1570.17925 1570.1835969999997 1570.1873434999998 1570.190774 1570.1948069999999 1570.1992444999998 1570.203206 1570.206696 1570.21067 1570.2147639999998 1570.218919 1570.2230514999999 1570.2270875 1570.2308735 1570.2348064999999 1570.2390685 1570.2430635 1570.2469379999998 1570.250922 1570.2547915 1570.2587199999998 1570.2629539999998 1570.2676470000001 1570.2715665 1570.2749344999997 1570.2789134999998 1570.2833105 1570.2875315 1570.2912509999999 1570.294843 1570.298671 1570.3027324999998 1570.3067255 1570.3107105 1570.3150449999998
